cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
02458903000146,02458903,Matriz,,RENATO PINHEIRO PIRACAIA,02,Ativa,2001-01-27,1998-03-26,1998,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,4789099,Dr Valentin Del Nero,325-A,catigua,12970000,6873,PIRACAIA,SP,SEM MOTIVO,2135,Empresário (Individual),"1000,00",01,Microempresa,MEI,Sim
02458953000123,02458953,Matriz,PLANETA X LANCHES,PEDRO VANDERLEI BORRE TOPA,02,Ativa,2005-11-03,1998-04-06,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PLINIO BRASIL MILANO,2342,PASSO DA AREIA,90520003,8801,PORTO ALEGRE,RS,SEM MOTIVO,2135,Empresário (Individual),"50000,00",01,Microempresa,Não MEI,Sim
02459065000125,02459065,Matriz,,VERA LUCIA DA SILVA ITATIBA,02,Ativa,2005-11-03,1998-04-01,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,BARAO DE ITAPEMA,59,CENTRO,13250020,6569,ITATIBA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
02459264000133,02459264,Matriz,KADY LANCHES,CLAUDINEI ALBRECHT,02,Ativa,2001-03-04,1998-04-07,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,NEREU RAMOS,934,CENTRO,89300001,8199,MAFRA,SC,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02459294000140,02459294,Matriz,FERNANDIE,ANA L. FERNANDES & GIOVANNI F. MARTINS LTDA,02,Ativa,2006-03-08,1998-04-08,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CEL VICENTE PEREIRA,0367,CNTRO,95480000,8571,CAMBARA DO SUL,RS,SEM MOTIVO,2062,Sociedade Empresária Limitada,"16000,00",01,Microempresa,Não MEI,Sim
02459644000178,02459644,Matriz,PADARIA SHALON,HILIO JAKSON BORGES,02,Ativa,2005-11-03,1998-03-26,1998,4721102,Padaria e confeitaria com predominância de revenda,4721104,JOAO XXIII,2429,JARDIM BRASIL,39400832,4865,MONTES CLAROS,MG,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02459781000102,02459781,Matriz,ARRUMADINHO ZERO GRAU,DISK BEBIDAS ZERO GRAU COMERCIO LTDA,02,Ativa,2005-11-03,1998-04-08,1998,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento","4712100,4723700",CSB 6 LOTE,08,TAGUATINGA SUL (TAGUATINGA),72015565,9701,BRASILIA,DF,SEM MOTIVO,2062,Sociedade Empresária Limitada,"100000,00",01,Microempresa,Não MEI,Sim
02459860000113,02459860,Matriz,,HF HOFFMANN & CIA LTDA,02,Ativa,2005-11-03,1998-02-26,1998,4721102,Padaria e confeitaria com predominância de revenda,"4712100,4723700,5620101,5620102,5620104",GAL ALCIDES ETCHEGOYEN,785,JD LA SALLE,85903010,7927,TOLEDO,PR,SEM MOTIVO,2062,Sociedade Empresária Limitada,"250000,00",01,Microempresa,Não MEI,Sim
02459874000137,02459874,Matriz,PANIFICADORA ITALIANA,OLIVEIRA & GROSS LTDA,02,Ativa,2023-01-06,1998-03-20,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CIRNE LIMA,2806,BNH TOCANTINS,85903590,7927,TOLEDO,PR,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Não
02459908000193,02459908,Matriz,MARISQUEIRA,J.L. RESTAURANTE LTDA,02,Ativa,2005-11-03,1998-03-23,1998,5611201,Restaurantes e similares,,MINISTRO MARCOS FREIRE,521,BAIRRO NOVO,53030000,2491,OLINDA,PE,SEM MOTIVO,2062,Sociedade Empresária Limitada,"100000,00",01,Microempresa,Não MEI,Não
